T,X,V
53,331.8235001007464,-3.0616670520149967
54,328.84208037939965,-2.995721788360555
55,325.8320565240253,-3.0355708611881767
56,322.7709386570233,-3.0496147349447824
57,319.7328270541357,-3.0452637639795626
58,316.68041112906417,-3.06437395548852
59,313.6040791431587,-2.9977629233378877
60,310.6848852823884,-2.9556548408987453
61,307.6927694613612,-2.9557310270124617
62,304.77342322836347,-2.8964087800608525
63,301.8999519012395,-2.916820501259707
64,298.93978222584406,-3.042442913819201
65,295.8150660736011,-3.0880023304401334
66,292.7637775649638,-3.0408961981058553
67,289.7332736773894,-3.02667274699715
68,286.7104320709695,-2.8736358036245804
69,283.9860020701402,-2.7139018873498912
70,281.2826282962697,-2.783895210219498
71,278.4182116497012,-3.0127222125400976
72,275.2571838711895,-3.068488342897666
73,272.2812349639059,-2.926172270639995
74,269.4048393299095,-2.933981265146599
75,266.4132724336127,-2.986242491894245
76,263.43235434612103,-2.9039736983076523
77,260.6053250369974,-2.9323169330268968
78,257.56772048006724,-3.0404044577286413
79,254.5245161215401,-2.948387327346367
80,251.6709458253745,-2.8800902695113137
81,248.76433558251748,-2.9433335493472015
82,245.7842787266801,-2.927807481418128
83,242.90872061968122,-2.8518412597413914
84,240.08059620719732,-2.7199874453498865
85,237.46874572898145,-2.4132409671674964
86,235.25411427286232,-2.0058173662406205
87,233.4571109965002,-1.57161519835158
88,232.11088387615916,-1.0777488137128302
89,231.30161336907454,0.0
90,230.91764334252446,0.0
91,230.7253988908572,0.0
92,230.63870158787392,0.0
93,230.6381828457204,0.0
94,230.57241038339282,0.0
95,230.5127482968849,0.0
96,230.50000879258803,0.0
97,230.4585632978436,0.0
98,230.3998240900472,0.0
99,230.33860576909456,0.0
100,230.3049414258633,0.0
101,230.31157054354068,0.0
102,230.33860576909456,0.0
103,230.33093914062076,0.0
104,230.3054601805061,0.0
105,230.23865024725154,0.0
106,230.17287781518473,0.0
107,230.10762412180023,0.0
108,230.05107451011554,0.0
109,230.018966386324,0.0
110,229.99504358910218,0.0
111,229.97723115940258,0.0
112,230.01348916808288,0.0
113,230.06093049536568,0.0
114,230.12929665442482,0.0
115,230.1624422742295,0.0
116,230.18947749779483,0.0
117,230.21962509105575,0.0
118,230.28291828754377,0.0
119,230.32580537008877,0.0
120,230.3493237768584,0.0
121,230.3575090494093,0.0
122,230.34073393664104,0.0
123,230.3305879247532,0.0
124,230.33877316918048,0.0
125,230.3143314568201,0.0
126,230.2766314639144,0.0
127,230.25726276418092,0.0
128,230.16601098986231,0.0
129,229.84470042033178,0.0
130,229.29033266577733,0.0
131,228.66304421790932,0.0
132,228.0877513708113,0.0
133,227.5302711888092,0.0
134,226.9769401448996,0.0
135,226.44090314653423,0.0
136,225.87783080466892,0.0
137,225.4316030296368,0.0
138,225.05270392969945,0.0
139,224.72268901975312,0.0
140,224.5095187336225,0.0
141,224.3758983269586,0.0
142,224.28205286734615,0.0
143,224.20094710847698,0.0
144,224.1688385398565,0.0
145,224.12295303223686,0.0
146,224.11580525893748,0.0
147,224.10658302916417,0.0
148,224.06876967448258,0.0
149,224.03199353191482,0.0
150,224.01303032341994,0.0
151,223.98951243324845,0.0
152,223.9726236720126,0.0
153,223.96184539755447,0.0
154,223.97199183283672,0.0
155,223.98369419250847,0.0
156,223.99136064048145,0.0
157,223.99239793549958,0.0
158,223.99239793549958,0.0
159,223.9796582765515,0.0
160,223.9806955677709,0.0
161,223.9663999730476,0.0
162,223.96432538640812,0.0
163,223.9831755438766,0.0
164,224.0096921471645,0.0
165,224.04998570293262,0.0
166,224.09690840745185,0.0
167,224.12186905322747,0.0
168,224.1749022506824,0.0
169,224.24015642883285,0.0
170,224.3003374239566,0.0
171,224.36051841917907,0.0
172,224.4421428323836,0.0
173,224.50336114096382,0.0
174,224.5309150512653,0.0
175,224.55287712147003,0.0
176,224.59680124516967,0.0
177,224.63968804572377,0.0
178,224.66424331297043,0.0
179,224.65968872888362,0.0
180,224.68879853909561,0.0
181,224.65720868187302,0.0
182,224.63887712346727,0.0
183,224.6184710272627,0.0
184,224.58480662176174,0.0
185,224.56543779076802,0.0
186,224.55725273629525,0.0
187,224.6015822707893,0.0
188,224.68009482729386,0.0
189,224.70401822297046,0.0
190,224.71364599895992,0.0
191,224.7426425318414,0.0
192,224.74004925004283,0.0
193,224.73797461369645,0.0
194,224.73186412491685,0.0
195,224.73849327283943,0.0
196,224.74356643840042,0.0
197,224.7563060710307,0.0
198,224.7608605603235,0.0
199,224.7251214994321,0.0
200,224.73123197549717,0.0
201,224.77815466279998,0.0
202,224.8031152312346,0.0
203,224.8408154023809,0.0
204,224.87851555501115,0.0
205,224.91166126866162,0.0
206,224.91321730236302,0.0
207,224.9020337198256,0.0
208,224.84600212067815,0.0
209,224.82052287416775,0.0
210,224.7165311893987,0.0
211,224.69157057992714,0.0
212,224.62072457730443,0.0
213,224.68649740774646,0.0
214,224.6814242281212,0.0
215,224.63150294714345,0.0
216,224.63254024689013,0.0
217,224.60095043639973,0.0
218,224.56117552892348,0.0
219,224.54128807429365,0.0
220,224.50917960265843,0.0
221,224.48877350242358,0.0
222,224.5545463766468,0.0
223,224.51984468264226,0.0
224,224.49891993553226,0.0
225,224.56158088813862,0.0
226,224.6170939766304,0.0
227,224.64920239220348,0.0
228,224.67312566425156,0.0
229,224.7148616653556,0.0
230,224.73671016274272,0.0
231,224.7508920856676,0.0
232,224.79873831114017,0.0
