t_start,x_avg,duration
0,363.6642510921373,20
56,452.7579793130495,108
175,468.5769313303136,50
229,465.61732155443127,59
343,315.275597723625,40
404,363.84782894094286,36
481,468.98507666685987,49
626,227.47335435986778,29
680,210.03979514113345,69
828,420.1501425981757,45
887,440.68519547906095,37
943,455.2484193300009,27
1032,284.3816096816525,65
1160,456.5712103081562,40
1278,275.3349806274595,42
1361,380.8650568998743,55
1427,399.56234790154116,39
1477,414.2535599680456,46
1533,403.0023188903856,47
1607,469.4835408600835,21
1640,476.9594835458786,15
1683,402.827187076536,49
1759,335.9020267116861,36
1831,402.3332072693249,79
1942,469.05193759984695,47
2017,402.4562973843947,39
2083,468.880672052923,49
2137,473.2341147569662,59
2210,449.9822955090581,35
2256,465.0339654241145,49
2376,267.9208406073927,37
2448,337.00429770887035,35
2485,336.4981913142212,125
2616,335.9483637200837,43
2703,453.8940997064259,39
2806,286.52446922946103,16
2830,280.4561242854872,14
2888,213.36988130932332,51
3028,430.3154811682041,48
3149,226.40743547340873,19
3186,207.76260733923652,47
3278,313.41489733435475,46
3380,468.2776338204924,48
3477,336.2440829994329,37
3565,471.3064294237222,32
