t_start,x_avg,duration
31,355.4497693162,40
124,468.8603240682729,49
186,447.03069474153534,41
299,244.8392004397752,164
492,210.01633995195027,51
578,291.1353772093874,42
699,465.01322762615456,47
765,423.9433072082758,36
833,468.9661906024006,49
950,291.17511921758216,37
1072,462.1788901965151,46
1129,446.92803323281044,64
1207,469.6599852243317,48
1299,356.822224770449,36
1380,461.88303393275623,45
1501,325.28483732490474,36
1567,291.1321503626792,70
1655,250.16169691030328,79
1771,209.48488510377254,58
1922,450.94612773733303,37
1964,447.47571852896834,39
2015,466.24386037707524,49
2122,308.3727478416625,34
2214,466.90132062180703,48
2326,320.61904258232386,38
2414,451.6388050463375,93
2517,461.50778981934036,48
2590,402.6563267604215,43
2660,466.58115435518874,47
2755,334.35540366145057,44
2841,224.44090014628756,42
2908,209.04606742599574,137
3059,223.90617903856335,58
3136,211.84366768078547,54
3205,234.39030200832363,48
3290,309.68502024332696,53
3354,322.4771408524012,35
3400,308.5833810534939,38
3453,335.2182418813128,70
3551,404.1978779701355,45
