t_start,x_avg,duration
17,331.574859373689,43
82,282.11473378974273,43
147,332.229623952148,42
230,223.70183183082315,64
316,209.06122790510258,11
329,205.41073834206787,160
575,412.5411123235798,29
639,321.9664712611631,38
709,386.14278779343863,31
789,256.8114926975175,47
871,337.3677149682875,35
913,330.8095059024441,43
963,337.1547746160942,40
1018,313.3643434411489,52
1084,337.64361117009383,45
1142,318.79392511608296,43
1211,281.29616182222964,72
1343,447.22101155679945,118
1474,465.8024160215693,49
1534,450.3581774716731,39
1639,266.7111220237107,62
1726,294.7309705896741,28
1768,269.03034387156356,575
2418,425.7363751279788,76
2539,319.8914671231229,25
2590,258.0746394357786,22
2615,262.33932298944364,76
2694,257.0371965336665,69
2832,446.90434730558474,74
2918,464.5646384923854,73
3031,464.28561357907915,50
3142,308.349519629131,28
3172,308.72821815225376,87
3317,464.8001945494745,47
3375,450.65023971953775,40
3474,308.93325986788113,29
3517,282.4826856393276,38
