T,X,V,CRANESTOPPED
0,322.80591912200265,3.104169496089753,1
1,325.9100886180924,3.057247452674119,1
2,328.9204140273509,2.9354167769879496,1
3,331.7809221720683,2.6073334847099545,1
4,334.1350809967708,2.12165638491075,1
5,336.0242349418898,1.6741114404692041,1
6,337.4833038777092,1.2428740490605037,1
7,338.5099830400108,0.7504689933392399,1
8,338.9842418643877,0.0,0
9,339.2917523632348,0.0,0
10,339.45239823488,0.0,0
11,339.5369844941506,0.0,0
12,339.6324023331673,0.0,0
13,339.748754748797,0.0,0
14,339.8314421966068,0.0,0
15,339.9762050260689,0.0,0
16,340.1668376343598,0.0,0
17,340.3142277064985,0.0,0
18,340.46824567163037,0.0,0
19,340.5697659282108,0.0,0
20,340.684541969366,0.0,0
21,340.793215553459,0.0,0
22,340.94270738847445,0.0,0
23,341.06011057028627,0.0,0
24,341.1663595578072,0.0,0
25,341.25114845689126,0.0,0
26,341.3221560548457,0.0,0
27,341.3881118014976,0.0,0
28,341.41619954479853,0.0,0
29,341.4416604090107,0.0,0
30,341.4273538448005,0.0,0
31,341.4058939903884,0.0,0
32,341.40536860623007,0.0,0
33,341.3858080853962,0.0,0
34,341.36309484378967,0.0,0
35,341.3552132994013,0.0,0
36,341.34943330172456,0.0,0
37,341.37279207743063,0.0,0
38,341.4401219532793,0.0,0
39,341.46768446378877,0.0,0
40,341.48546626142263,0.0,0
41,341.69335495379653,0.0,0
42,342.3444646929788,0.8808228371699727,1
43,343.4550006281365,1.393958174099879,1
44,345.1323810411786,1.8978368877158687,1
45,347.2506744035682,2.2927193459617285,1
46,349.71781973310203,2.5564606149375777,1
47,352.36359563344337,2.6865937546867826,1
48,355.0910072424756,2.690431980249116,1
49,357.7444595939416,2.5611875861897886,1
50,360.2133824148552,2.2234291171475604,1
51,362.1913178282367,1.6936226343947283,1
52,363.60062768364463,1.1819636797199848,1
53,364.5552451876767,0.819272509911741,1
54,365.2391727034681,0.6359551086940769,1
55,365.82715540506484,0.0,0
56,366.17043368373527,0.0,0
57,366.3745271835968,0.0,0
58,366.50918732677184,0.0,0
59,366.60670940308404,0.0,0
60,366.6660416785524,0.0,0
61,366.66972213487435,0.0,0
62,366.7171686257362,0.0,0
63,366.70706754111467,0.0,0
64,366.8799173973001,0.0,0
65,366.9650278991253,0.0,0
66,366.92073602810484,0.0,0
67,366.86981627742307,0.0,0
68,366.7658736855423,0.0,0
69,366.59807439728866,0.0,0
70,366.47404126325387,0.0,0
71,366.4128133216342,0.0,0
72,366.2041953741294,0.0,0
73,366.03913606619415,0.0,0
74,365.8373533324428,0.0,0
75,365.6520919650992,0.0,0
76,365.45441866626817,0.0,0
77,365.32133595543945,0.0,0
78,365.5363739987465,0.0,0
79,365.557309196116,0.0,0
80,365.56951321338425,0.0,0
81,365.4700955682837,0.0,0
82,365.3211280052485,0.0,0
83,365.17963174106035,0.0,0
84,365.0367660587697,0.0,0
85,364.99331793436096,0.0,0
86,364.9687015019197,0.0,0
87,364.99258340786184,0.0,0
88,365.02551370239183,0.0,0
89,365.17164284603933,0.0,0
90,365.25065091238014,0.0,0
91,365.27979189517134,0.0,0
92,365.27684551684166,0.0,0
93,365.2595915809704,0.0,0
94,365.42759996183935,0.0,0
95,365.47820191390264,0.0,0
96,365.4595786213652,0.0,0
97,365.4356965438825,0.0,0
98,365.36541953329737,0.0,0
99,365.2956683084137,0.0,0
100,365.02529620526536,0.0,0
101,364.4108021062171,-0.8915489843082582,1
102,363.24219823664885,-1.442711937616707,1
103,361.5253782309837,-1.866209779659215,1
104,359.5097786773304,-1.9021377422934052,1
105,357.72110274639687,-1.5556497566622625,1
106,356.3984791640059,-1.152561912796358,1
107,355.41597892080415,-0.8608332165396178,1
108,354.67681273092666,-0.6234416273125021,1
109,354.16909566617915,0.0,0
110,353.7565910029069,0.0,0
111,353.40878795461936,0.0,0
112,353.17418428731787,0.0,0
113,352.9252735258792,0.0,0
114,352.7492692597547,0.0,0
115,352.5711621906296,0.0,0
116,352.4251429178057,0.0,0
117,352.32046782408486,0.0,0
118,352.2438812703418,0.0,0
119,352.1449890958661,0.0,0
120,352.12720841184534,0.0,0
121,352.2011663269235,0.0,0
122,352.2923792064877,0.0,0
123,352.3056349271428,0.0,0
124,352.3096341350536,0.0,0
125,352.31521052375086,0.0,0
126,352.34277343323726,0.0,0
127,352.40189843137114,0.0,0
128,352.4268326484234,0.0,0
129,352.57001679232064,0.0,0
130,352.67395948275436,0.0,0
131,352.7850557503861,0.0,0
132,352.8518600769964,0.0,0
133,352.8717436448172,0.0,0
134,352.88447358841125,0.0,0
135,352.9252922583687,0.0,0
136,352.98757178349763,0.0,0
137,353.0631070008587,0.0,0
138,353.11002775514066,0.0,0
139,353.15800001772413,0.0,0
140,353.2197537365014,0.0,0
141,353.28971252847253,0.0,0
142,353.2954955897348,0.0,0
143,353.2991756326381,0.0,0
144,353.2808691881018,0.0,0
145,353.29780485820135,0.0,0
146,353.2222698494937,0.0,0
147,353.19418127562983,0.0,0
148,353.1870277034581,0.0,0
149,353.1456833940204,0.0,0
150,353.1599905442962,0.0,0
151,353.18092555191237,0.0,0
152,353.20396337757995,0.0,0
153,353.2346804089858,0.0,0
154,353.26087221362707,0.0,0
155,353.34324071242867,0.0,0
156,353.492938789175,0.0,0
157,353.65694339015573,0.0,0
158,353.81694746068007,0.0,0
159,353.9310810820217,0.0,0
160,354.01660022515784,0.0,0
161,354.1342071534465,0.0,0
162,354.2552887041809,0.0,0
163,354.40950944039633,0.0,0
164,354.4585318546902,0.0,0
165,354.4845179865326,0.0,0
166,354.5049270936034,0.0,0
167,354.4956720181108,0.0,0
168,354.5476442557595,0.0,0
169,354.60414256776306,0.0,0
170,354.5969892244952,0.0,0
171,354.65716567873375,0.0,0
172,354.66221719721915,0.0,0
173,354.65053779021235,0.0,0
174,354.6945087239306,0.0,0
175,354.7967570056877,0.0,0
176,354.84577935374887,0.0,0
177,354.8421014017261,0.0,0
178,354.81348812099884,0.0,0
179,354.68093029022583,0.0,0
180,354.68513367290575,0.0,0
181,354.74236012184616,0.0,0
182,354.8072651936188,0.0,0
183,354.8629153229079,0.0,0
184,354.85281184817825,0.0,0
185,354.85091233546126,0.0,0
186,354.8500634242173,0.0,0
187,354.86194480897444,0.0,0
188,354.8656221706765,0.0,0
189,354.8340586486343,0.0,0
190,354.80807236351035,0.0,0
191,354.78418736183227,0.0,0
192,354.7719821879521,0.0,0
193,354.7597770071605,0.0,0
194,354.73726671550264,0.0,0
195,354.7253855569934,0.0,0
196,354.7787325799338,0.0,0
197,354.87952539911925,0.0,0
198,354.99777683277773,0.0,0
199,355.12528300444296,0.0,0
200,355.2369065218982,0.0,0
201,355.3275955673951,0.0,0
202,355.41008050066176,0.0,0
203,355.47320706059514,0.0,0
204,355.5267556163748,0.0,0
205,355.5532671928872,0.0,0
206,355.57072616609963,0.0,0
207,355.45700116082014,0.0,0
208,355.15696739597877,-0.5378498819395361,1
209,354.38130139694107,-0.9645610296628888,1
210,353.227845336653,-1.3700752529398414,1
211,351.6411508910614,-1.6333528484990723,1
212,349.96113963965485,-1.591222352120326,1
213,348.45870618682073,-1.575704098021049,1
214,346.80973144361275,-1.771954351740078,1
215,344.9147974833406,-1.6937329912564962,1
216,343.42226546109976,-1.3053747280482924,1
217,342.304048027244,-0.8637682669667868,1
218,341.6947289271662,-0.5708654371599096,1
219,341.1623171529242,0.0,0
220,340.7211183833718,0.0,0
221,340.46865131888586,0.0,0
222,340.31148081110337,0.0,0
223,340.19112777907816,0.0,0
224,340.1415798866635,0.0,0
225,340.07614891985037,0.0,0
226,340.0332288110692,0.0,0
227,339.9735777528685,0.0,0
228,339.9557958867872,0.0,0
229,339.9406412054732,0.0,0
230,339.8928723314652,0.0,0
231,339.82154169750413,0.0,0
232,339.74863479632666,0.0,0
233,339.7446339592347,0.0,0
234,339.7406330848126,0.0,0
235,339.68760986984506,0.0,0
236,339.6396383513108,0.0,0
237,339.6064988428556,0.0,0
238,339.48194253580283,0.0,0
239,339.3849485857664,0.0,0
240,339.3343498661804,0.0,0
241,339.29858319390274,0.0,0
242,339.31689056159337,0.0,0
243,339.33624880842825,0.0,0
244,339.34392759429284,0.0,0
245,339.3500300477125,0.0,0
246,339.3458264440347,0.0,0
247,339.36918526298155,0.0,0
248,339.41905559893286,0.0,0
249,339.46334893918754,0.0,0
250,339.49038599381714,0.0,0
251,339.5317297912678,0.0,0
252,339.5434091387045,0.0,0
253,339.5346793069068,0.0,0
254,339.5418326852801,0.0,0
255,339.55213894885856,0.0,0
256,339.5690730387584,0.0,0
257,339.5854816058757,0.0,0
258,339.54676514539466,0.0,0
259,339.29805775406606,0.0,0
260,338.6100095945223,-0.986142730153091,1
261,337.3257722937599,-1.5458783421483133,1
262,335.51825291022567,-2.0805776454205898,1
263,333.1646170029187,-2.5560508547692677,1
264,330.40615120068713,-2.863988508406095,1
265,327.4366399861065,-2.9924478167249333,1
266,324.42125556723727,-3.0029176945620577,1
267,321.4308045969824,-3.0092861418906978,1
268,318.4026832834559,-2.9651573436402145,1
269,315.50048990970197,-2.717563602927868,1
270,312.96755607760014,-2.2904893339891714,1
271,310.9195112417236,-1.808223741222406,1
272,309.3511085951553,-1.3086967396809825,1
273,308.30211776236166,-0.8228521106690607,1
274,307.7054043738172,0.0,0
275,307.46975112293234,0.0,0
276,307.37381037635936,0.0,0
277,307.32721958574973,0.0,0
278,307.2888311404379,0.0,0
279,307.2596948985335,0.0,0
280,307.1963689784236,0.0,0
281,307.14124563204535,0.0,0
282,307.0887466790401,0.0,0
283,307.0866471563614,0.0,0
284,307.1054813209135,0.0,0
285,307.09412930132424,0.0,0
286,307.1108637986813,0.0,0
287,307.1220200988763,0.0,0
288,307.1480070789753,0.0,0
289,307.15358521331143,0.0,0
290,307.14905691284764,0.0,0
291,307.1394753306342,0.0,0
292,307.1593592584423,0.0,0
293,307.1869209703907,0.0,0
294,307.22878843108623,0.0,0
295,307.28496161269936,0.0,0
296,307.3268290321398,0.0,0
297,307.3456631906301,0.0,0
298,307.3390352126814,0.0,0
299,307.3803777429168,0.0,0
300,307.4384548771047,0.0,0
301,307.48222623645336,0.0,0
302,307.53472514353194,0.0,0
303,307.5872240461037,0.0,0
304,307.5586125095087,0.0,0
305,307.6370983772742,0.0,0
306,307.65540754243233,0.0,0
307,307.6752914630678,0.0,0
308,307.66151059364734,0.0,0
309,307.58702811390776,0.0,0
310,307.5340043274971,0.0,0
311,307.4841300486836,0.0,0
312,307.46076760208075,0.0,0
313,307.49042890722865,0.0,0
314,307.5807917425421,0.0,0
315,307.6727291394574,0.0,0
316,307.7376296206925,0.0,0
317,307.76781552789396,0.0,0
318,307.7857950813056,0.0,0
319,307.8098776818082,0.0,0
320,307.8023946935287,0.0,0
321,307.7540939985388,0.0,0
322,307.7241027832838,0.0,0
323,307.6787564124639,0.0,0
324,307.621203594984,0.0,0
325,307.569753965193,0.0,0
326,307.55039475247287,0.0,0
327,307.50399880188235,0.0,0
328,307.42551240261787,0.0,0
329,307.31441076304304,0.0,0
330,307.23034581113984,0.0,0
331,307.17331753377783,0.0,0
332,307.1422764661321,0.0,0
333,307.1051320866915,0.0,0
334,307.0965984881288,0.0,0
335,307.0605033714831,0.0,0
336,307.0713288702006,0.0,0
337,307.0826789488521,0.0,0
338,307.09612751991887,0.0,0
339,307.1575458038955,0.0,0
340,307.2367493604535,0.0,0
341,307.27670926208026,0.0,0
342,307.3334055057278,0.0,0
343,307.3895771186575,0.0,0
344,307.42481550290245,0.0,0
345,307.47783963554537,0.0,0
346,307.5303391895239,0.0,0
347,307.58388789603333,0.0,0
348,307.6037719432541,0.0,0
349,307.6220822489508,0.0,0
350,307.6342891111464,0.0,0
351,307.67143424730426,0.0,0
352,307.6958479100507,0.0,0
353,307.7075301261665,0.0,0
354,307.7192123263105,0.0,0
355,307.72479111414765,0.0,0
356,307.70385785155844,0.0,0
357,307.6630405511524,0.0,0
358,307.6558879222488,0.0,0
359,307.63042511224165,0.0,0
360,307.5972850552087,0.0,0
361,307.5758271731866,0.0,0
362,307.56605142724084,0.0,0
363,307.55732489890715,0.0,0
364,307.55732489890715,0.0,0
365,307.55680026573975,0.0,0
366,307.54912298658013,0.0,0
367,307.55365243567405,0.0,0
368,307.5913218957843,0.0,0
369,307.6432966452669,0.0,0
370,307.66875935846844,0.0,0
371,307.64119801774604,0.0,0
372,307.6197400152389,0.0,0
373,307.57787332089606,0.0,0
374,307.55431659506905,0.0,0
375,307.4925658442213,0.0,0
376,307.418608445887,0.0,0
377,307.3624363035607,0.0,0
378,307.3128921241405,0.0,0
379,307.25061661125824,0.0,0
380,307.23020790598474,0.0,0
381,307.215377784467,0.0,0
382,307.2143283631707,0.0,0
383,307.2082250754544,0.0,0
384,307.20002293817316,0.0,0
385,307.2056015044228,0.0,0
386,307.1902466254097,0.0,0
387,307.1544830047286,0.0,0
388,307.1767971031677,0.0,0
389,307.20521433330777,0.0,0
390,307.1750290302634,0.0,0
391,307.12495969050906,0.0,0
392,307.02849435962435,0.0,0
393,307.01871764485315,0.0,0
394,307.0945799270806,0.0,0
395,307.0643943144565,0.0,0
396,307.02200230868993,0.0,0
397,306.9271112159978,0.0,0
398,306.8250673011205,0.0,0
399,306.77046892932947,0.0,0
400,306.77900135479933,0.0,0
401,306.7583974162125,0.0,0
402,306.72105854602376,0.0,0
403,306.77093308777864,0.0,0
404,306.76273044279606,0.0,0
405,306.72801587609905,0.0,0
406,306.7070821522375,0.0,0
407,306.693301299715,0.0,0
408,306.6418521678125,0.0,0
409,306.63627397182773,0.0,0
410,306.6675098334043,0.0,0
411,306.69769585640273,0.0,0
412,306.76292592292793,0.0,0
413,306.79554094877017,0.0,0
414,306.85414301315916,0.0,0
415,306.8928611260638,0.0,0
416,306.9535626996393,0.0,0
417,306.9662937747581,0.0,0
418,306.9607155588576,0.0,0
419,306.9898518595319,0.0,0
420,307.0290948637458,0.0,0
421,307.0938000172189,0.0,0
422,307.14419941082144,0.0,0
423,307.196698337032,0.0,0
424,307.21868183504057,0.0,0
425,307.23909065660365,0.0,0
426,307.2722305466393,0.0,0
427,307.27885852403614,0.0,0
428,307.2722305466393,0.0,0
429,307.3074699815055,0.0,0
430,307.35038713182996,0.0,0
431,307.394353973595,0.0,0
432,307.44895241025694,0.0,0
433,307.503025980482,0.0,0
434,307.4958731391606,0.0,0
435,307.35983465230566,0.0,0
436,307.3237406540776,0.0,0
437,307.2886962164957,0.0,0
438,307.30457628560004,0.0,0
439,307.2970931932107,0.0,0
440,307.29466354939166,0.0,0
441,307.2821264479438,0.0,0
442,307.38278970677163,0.0,0
443,307.46547411199884,0.0,0
444,307.5476337522668,0.0,0
445,307.6297933730591,0.0,0
446,307.71753152225165,0.0,0
447,307.7578242332688,0.0,0
448,307.76898130704535,0.0,0
449,307.8312569313023,0.0,0
450,307.89405725312804,0.0,0
451,307.99610081849625,0.0,0
452,308.1424415006886,0.0,0
453,308.24291090882144,0.0,0
454,308.2516377676037,0.0,0
455,308.21291919313967,0.0,0
456,308.2073406068661,0.0,0
457,308.28602029246446,0.0,0
458,308.36975380601524,0.0,0
459,308.465693917294,0.0,0
460,308.5841413430275,0.0,0
461,308.6699732670977,0.0,0
462,308.76853641339324,0.0,0
463,308.87267820181734,0.0,0
464,308.87110432649473,0.0,0
465,308.861853163873,0.0,0
466,308.87878158784724,0.0,0
467,308.8697225149253,0.0,0
468,308.89275419953566,0.0,0
469,308.94682750291616,0.0,0
470,309.0457230758338,0.0,0
471,309.0915945464777,0.0,0
472,309.19049009804434,0.0,0
473,309.1857685137187,0.0,0
474,309.15000531956485,0.0,0
475,309.1327444407192,0.0,0
476,309.1078062722334,0.0,0
477,309.1083308919332,0.0,0
478,309.0818188528553,0.0,0
479,309.0849665354258,0.0,0
480,309.0003762025452,0.0,0
481,308.9269434665684,0.0,0
482,308.89013115967424,0.0,0
483,308.87267820181734,0.0,0
484,308.87301062952093,0.0,0
485,308.8539834847071,0.0,0
486,308.8558895232369,0.0,0
487,308.8766300768341,0.0,0
488,308.89179184107405,0.0,0
489,308.8804414829344,0.0,0
490,308.87676845577107,0.0,0
491,308.9133880659552,0.0,0
492,308.9107643820346,0.0,0
493,308.90814066089285,0.0,0
494,308.87237693647364,0.0,0
495,308.84986916848715,0.0,0
496,308.8416668866993,0.0,0
497,308.8196838399773,0.0,0
498,308.8191590686355,0.0,0
499,308.81305584848695,0.0,0
500,308.75688327541445,0.0,0
501,308.69513224193975,0.0,0
502,308.6537899514798,0.0,0
503,308.5936132580261,0.0,0
504,308.53396134964083,0.0,0
505,308.4722102987164,0.0,0
506,308.43697119128564,0.0,0
507,308.3216714082056,0.0,0
508,308.2339331655733,0.0,0
509,308.04014710842006,0.0,0
510,307.8922321666087,0.0,0
511,307.737164430445,0.0,0
512,307.6300670149386,0.0,0
513,307.51476719370066,0.0,0
514,307.3530714479883,0.0,0
515,307.251027576089,0.0,0
516,307.17287150749723,0.0,0
517,307.10849613490205,0.0,0
518,307.03191440602933,0.0,0
519,306.9874228179985,0.0,0
520,306.9240969313592,0.0,0
521,306.8673989718441,0.0,0
522,306.82395691375064,0.0,0
523,306.76168065745713,0.0,0
524,306.68109513912987,0.0,0
525,306.61986865440963,0.0,0
526,306.57905099594086,0.0,0
527,306.5509643839223,0.0,0
528,306.536658622601,0.0,0
529,306.51572487940496,0.0,0
530,306.5090969034995,0.0,0
531,306.5090969034995,0.0,0
532,306.49531604319543,0.0,0
533,306.5029938348988,0.0,0
534,306.4846846185017,0.0,0
535,306.4857344198831,0.0,0
536,306.49899037275605,0.0,0
537,306.48940867397306,0.0,0
538,306.47982689656465,0.0,0
539,306.4405838940754,0.0,0
540,306.42942741899776,0.0,0
541,306.4238491727483,0.0,0
542,306.44635742629987,0.0,0
543,306.4765433333378,0.0,0
544,306.5271379671065,0.0,0
545,306.55837339364535,0.0,0
546,306.52838238524095,0.0,0
547,306.34437316149985,0.0,0
548,305.63583892220686,-1.0113224509968575,1
549,304.32172825950613,-1.5312601667246781,1
550,302.5733185887575,-2.003422597036092,1
551,300.31488306543395,-2.486052778198058,1
552,297.6012130323614,-2.829923716253063,1
553,294.6550356329278,-2.995888945194878,1
554,291.60943514197163,-3.004522524760432,1
555,288.64599058340696,-2.9741750864276355,1
556,285.66108496911636,-2.9932761896044155,1
557,282.6594382041981,-2.997810579740758,1
558,279.66546380963484,-3.017699250016591,1
559,276.62403970416494,-3.0184902076431968,1
560,273.62848339434845,-2.966256169764705,1
561,270.69152736463553,-2.9272779052500653,1
562,267.7739275838483,-2.95074239207554,1
563,264.79004258048445,-2.9838871639520335,1
564,261.80615325594425,-2.992786214176789,1
565,258.8044701521309,-2.919095545002861,1
566,255.96796216593853,-2.6450786345518082,1
567,253.51431288302726,-2.2025651674747877,1
568,251.56283183098896,-1.6929824435085123,1
569,250.12834799601023,-1.1687439779207551,1
570,249.22534387514744,-0.7079074161441099,1
571,248.71253316372201,0.0,0
572,248.45403355788704,0.0,0
573,248.27559575583072,0.0,0
574,248.1186129699209,0.0,0
575,248.08250812291888,0.0,0
576,247.97035217024396,0.0,0
577,247.91226873838363,0.0,0
578,247.83691790338844,0.0,0
579,247.7889501323217,0.0,0
580,247.7572027703456,0.0,0
581,247.75458543914584,0.0,0
582,247.73016649758517,0.0,0
583,247.690920742842,0.0,0
584,247.67818779546607,0.0,0
585,247.71691009269352,0.0,0
586,247.646963803838,0.0,0
587,247.63318392959485,0.0,0
588,247.65359200509064,0.0,0
589,247.6392886563401,0.0,0
590,247.58225218944247,0.0,0
591,247.4849229787365,0.0,0
592,247.4008501151413,0.0,0
593,247.3345680590651,0.0,0
594,247.3417197064594,0.0,0
595,247.33770868072895,0.0,0
596,247.33474445714438,0.0,0
597,247.35619934101985,0.0,0
598,247.3991090738036,0.0,0
599,247.55731536138387,0.0,0
600,247.58801532928348,0.0,0
601,247.57737579376945,0.0,0
602,247.54336350628185,0.0,0
603,247.51231581565014,0.0,0
604,247.5374338757733,0.0,0
605,247.6089493556664,0.0,0
606,247.646800283066,0.0,0
607,247.70017505102945,0.0,0
608,247.7348859984996,0.0,0
609,247.80831981573502,0.0,0
610,247.92169708287497,0.0,0
611,248.01763181628212,0.0,0
612,248.00995710541574,0.0,0
613,248.06455270367454,0.0,0
614,248.12438055288186,0.0,0
615,248.112343909345,0.0,0
616,248.1568220466745,0.0,0
617,248.2567688876529,0.0,0
618,248.30421295838661,0.0,0
619,248.3321222835246,0.0,0
620,248.3479947362556,0.0,0
621,248.3474715458852,0.0,0
622,248.37956636873574,0.0,0
623,248.4045097365596,0.0,0
624,248.46817610215783,0.0,0
625,248.53847063659111,0.0,0
626,248.59655509000225,0.0,0
627,248.65306979668807,0.0,0
628,248.689699716639,0.0,0
629,248.7324345267989,0.0,0
630,248.73644640729077,0.0,0
631,248.73330673587643,0.0,0
632,248.73016700474707,0.0,0
633,248.74133027011658,0.0,0
634,248.75197019815482,0.0,0
635,248.78755301126392,0.0,0
636,248.78388970972063,0.0,0
637,248.77569147901798,0.0,0
638,248.78127301689284,0.0,0
639,248.79295941993308,0.0,0
640,248.7990642893711,0.0,0
641,248.78580785232688,0.0,0
642,248.7521434102113,0.0,0
643,248.73888697300632,0.0,0
644,248.75266675870242,0.0,0
645,248.76696989011,0.0,0
646,248.78790123589886,0.0,0
647,248.78894791902172,0.0,0
648,248.816507476957,0.0,0
649,248.8679632125187,0.0,0
650,248.9096505689486,0.0,0
651,248.90598700784042,0.0,0
652,248.89325394769455,0.0,0
653,248.888719195875,0.0,0
654,248.8841844171335,0.0,0
655,248.8520900361506,0.0,0
656,248.8316820295639,0.0,0
657,248.8072625509573,0.0,0
658,248.74464371718204,0.0,0
659,248.70853765931423,0.0,0
660,248.68464133361562,0.0,0
661,248.62254549349652,0.0,0
662,248.53951825925557,0.0,0
663,248.4554443822131,0.0,0
664,248.39840663563962,0.0,0
665,248.3408455732085,0.0,0
666,248.29601768758647,0.0,0
667,248.288342957374,0.0,0
668,248.30212267299547,0.0,0
669,248.32305387017348,0.0,0
670,248.34398506264688,0.0,0
671,248.3638697666096,0.0,0
672,248.32462360077253,0.0,0
673,248.30421565427238,0.0,0
674,248.3174721244941,0.0,0
675,248.32305387017348,0.0,0
676,248.30264592042423,0.0,0
677,248.2822379719977,0.0,0
678,248.23688682159445,0.0,0
679,248.14862679453242,0.0,0
680,248.06036676005303,0.0,0
681,247.94454727714174,0.0,0
682,247.86902042871898,0.0,0
683,247.7940168259564,0.0,0
684,247.73174640690544,0.0,0
685,247.65517295155442,0.0,0
686,247.6147057565213,0.0,0
687,247.58958800041324,0.0,0
688,247.57266830494842,0.0,0
689,247.51859586984858,0.0,0
690,247.48597808189663,0.0,0
691,247.46714005828468,0.0,0
692,247.49574622797925,0.0,0
693,247.55906343083282,0.0,0
694,247.55714489588462,0.0,0
695,247.52609690344036,0.0,0
696,247.5480747163364,0.0,0
697,247.54964454425357,0.0,0
698,247.5103984306237,0.0,0
699,247.49766523694203,0.0,0
700,247.53185292892087,0.0,0
701,247.55173762489483,0.0,0
702,247.58592531435744,0.0,0
703,247.62778775752616,0.0,0
704,247.67069669108886,0.0,0
705,247.70540761093508,0.0,0
706,247.73139729748718,0.0,0
707,247.75285174666286,0.0,0
708,247.75494471868603,0.0,0
709,247.7554679576381,0.0,0
710,247.7422114861497,0.0,0
711,247.7273852949444,0.0,0
712,247.7247690644405,0.0,0
713,247.72110627313236,0.0,0
714,247.73069986289843,0.0,0
715,247.7336651390556,0.0,0
716,247.7729112241533,0.0,0
717,247.83204198606927,0.0,0
718,247.90495248835376,0.0,0
719,247.95850160108762,0.0,0
720,247.9569317092732,0.0,0
721,247.9717580554224,0.0,0
722,248.00489919074118,0.0,0
723,248.044145252117,0.0,0
724,248.0589715978989,0.0,0
725,248.06926285302222,0.0,0
726,248.09734561552744,0.0,0
727,248.1569996770317,0.0,0
728,248.20130412903282,0.0,0
729,248.26340000974116,0.0,0
730,248.33421723912758,0.0,0
731,248.31590250230983,0.0,0
732,247.94315195654357,-0.6007267875084779,1
733,247.11444892729287,-1.055807287701981,1
734,245.8315373811396,-1.5653971134536988,1
735,243.98365470038547,-2.097489474943359,1
736,241.6365584312529,-2.557894741828747,1
737,238.86786521672798,-2.8727419133718968,1
738,235.8910746045091,-2.8566998562897794,1
739,233.15446550414842,-2.525289949084211,1
740,230.84049470634068,-2.0636644287867796,1
741,229.02713664657486,-1.5249428244817977,1
742,227.79060905737708,-1.0190998859033016,1
