t_start,x_avg,duration
26,227.7989411918183,112
148,210.64887558116746,130
355,394.90100571994424,76
453,443.0132947278106,34
513,379.01746454909033,45
593,468.8018319740663,47
680,362.4163027643114,58
772,274.8511788168081,40
833,227.12265002195838,25
881,213.64373923128457,64
986,313.77846514246306,31
1052,226.55470502801012,18
1100,206.27753045624414,112
1293,385.5972846293171,35
1359,464.76961454480005,45
1411,472.59821134760125,96
1587,249.3182848531268,39
1640,272.00556124981466,38
1692,297.35557100802475,35
1790,446.4000253268064,35
1838,467.71508632945256,47
1907,418.3941623688652,39
1984,320.7225308369652,33
2041,261.8101682271166,35
2087,274.66059250044424,41
2170,385.6430514593581,35
2238,313.33464781186615,43
2298,346.8013111419848,31
2374,227.4908043565142,34
2425,215.49871612742814,115
2569,273.48583191507043,36
2612,281.91517182726415,42
2678,226.3376473321573,96
2804,206.76087215437707,17
2827,211.34512490633497,188
3085,372.12334602262615,41
3172,247.93765557229935,32
3253,379.1983036541517,42
3322,314.7039536695904,126
3512,464.1513737605037,43
