t_start,x_avg,duration
0,246.99343190557516,14
26,225.51757131638504,45
97,210.72333174204348,82
213,287.4404336756158,95
335,352.4434531328904,40
422,226.86627570323012,27
469,212.66710624600782,137
658,209.9284915111176,54
789,414.67211568636515,69
879,366.219503616971,39
931,347.5765024487843,79
1012,348.6695300694015,17
1041,365.83902342240776,50
1109,327.8250159261553,40
1177,261.0313336277022,35
1235,297.89197849965905,39
1292,259.8382430551415,45
1376,363.24632130965006,43
1458,260.01099375734697,45
1526,311.1761829759188,39
1575,298.2195188226961,40
1659,415.1699785341187,34
1704,431.88663651782394,40
1784,327.6040679830865,312
2123,261.8264597287786,44
2207,349.60199539230155,37
2290,227.4479822596855,20
2320,210.68172798914478,142
2542,403.5183682887088,34
2597,450.04011201341075,91
2722,363.5705002293728,44
2782,332.163162354878,152
2985,469.2982289364118,47
3049,433.9063358078068,113
3207,311.1970132745912,36
3291,440.8812620953323,35
3341,469.51834619984146,48
3409,468.97919469118585,50
3519,311.6094419587019,34
