t_start,x_avg,duration
23,323.2614407870626,21
57,302.35173751027685,47
124,256.3415905447566,43
187,302.1768361303304,47
248,275.2664545811659,50
367,469.52344054374424,47
505,290.4877202697959,62
581,273.1116474549976,35
636,227.48423668997776,31
692,211.06148729613375,70
827,376.2888053185793,42
879,364.0550609656051,45
964,259.6346830835012,44
1036,327.9497432277496,90
1188,214.43901352770942,54
1274,287.8416057518999,234
1511,287.5424571463546,92
1621,249.61990478982673,119
1774,210.92582679982576,50
1850,260.0704273138035,38
1902,288.42888944175576,43
1987,214.5188980470222,51
2073,213.10490607664414,52
2215,457.210708654194,40
2319,290.08055386131616,49
2410,213.3788870420755,51
2497,213.58113663732587,53
2634,431.3483456201722,78
2758,308.88514213269497,63
2867,431.0539618557683,39
2933,366.25013216958024,40
3025,256.8918789021604,43
3109,213.87265999739097,56
3214,210.08626735711388,55
3329,362.3475653837807,126
3478,415.23288534329174,119
