t_start,x_avg,duration
1,289.35761507611306,16
45,224.24534687487417,50
121,211.65471432425,61
268,383.4815386194632,48
343,320.63743482538,37
395,291.9304957249287,34
447,253.1759887149596,145
594,247.28786726105903,17
640,210.78849639857336,49
749,347.7771111893724,15
782,382.1336014767302,50
843,365.94638327122004,144
1025,465.93753822834555,52
1127,337.92799101267593,19
1167,288.5032259225655,35
1213,272.2367136932038,82
1316,223.6613016442338,115
1445,209.84807909492312,89
1558,253.80899148421457,44
1619,290.2729429163692,39
1686,225.47313743025813,90
1792,211.01003972280597,82
1949,203.50994935312062,33
2056,409.3059982890806,41
2108,393.3995550357592,90
2228,467.8126696377731,48
2330,320.6752896120178,399
2767,225.1138086788944,26
2795,225.14415751017657,49
2851,219.43231536080222,14
2869,225.7588657125481,83
2983,210.39360630851786,62
3070,225.76839536209283,33
3128,208.98304603324328,52
3226,320.9523234375611,79
3342,225.04601492365344,57
3425,207.40664819246214,65
3507,229.48594092279978,38
3576,210.47297481780663,21
