t_start,x_avg,duration
0,358.4534076101418,34
65,281.6702863029897,45
144,366.04813326148553,40
226,423.254889548381,34
274,450.3206264607792,44
332,423.06255943533876,37
382,443.30131281961457,45
433,450.2381690810596,42
504,377.8977529360854,102
632,441.4947926700335,50
689,449.60876264900196,119
820,468.85563088728026,51
873,465.6158086543179,12
887,460.31003580878854,45
943,442.6115625345629,49
1018,378.21313013748477,26
1049,378.4870569568876,180
1233,380.6571139616074,39
1305,449.3315617710806,51
1371,471.76118458660017,72
1479,378.9550000277883,98
1633,224.97163586549974,61
1719,209.86906557682093,58
1833,333.47567715736403,16
1865,368.67328962225696,46
1914,375.13848712388744,240
2185,448.6035467788022,17
2213,464.25726777292255,51
2295,401.61316045781723,56
2401,268.9128067549215,44
2464,226.54947907509157,14
2490,212.70470292715297,46
2612,418.5486832231367,25
2652,450.1008833104517,37
2722,387.5561685967212,35
2788,468.98730998407456,47
2872,375.4086500043779,41
2920,371.45403167956886,51
2986,402.1203544002307,47
3048,369.2552446132806,22
3077,375.0224538262516,15
3117,338.7061669963691,28
3178,255.57230316684095,13
3206,226.1457292217263,12
3234,210.08116124556875,53
3340,213.13631756237822,35
3416,267.62674667473823,39
3474,307.60271871877256,62
3568,226.5817547242754,29
