t_start,x_avg,duration
0,221.4931830744729,13
27,209.17400528162477,47
110,289.66662853509786,30
204,442.01187473606035,40
271,470.6058723125512,48
338,428.9299906705073,43
398,463.3358752960499,45
447,466.3218157917724,55
564,322.3071266434852,38
634,271.39468749076747,11
745,467.3032021814243,98
879,374.5416288785022,37
955,271.8126798246201,46
1078,468.09436491043726,47
1139,441.32937503645115,39
1192,413.4408588326103,41
1285,297.2819629533366,28
1327,271.6411080767352,13
1342,273.88221594488806,14
1359,275.51417275741017,12
1388,297.4836666245909,39
1441,273.1538251114548,44
1498,297.09771107795075,43
1593,440.2874424594032,33
1642,471.3518833073292,48
1764,312.689716881004,35
1849,212.29498662117336,54
1966,381.613752587859,102
2084,399.06703106386954,44
2142,374.86260448955403,38
2218,471.73941998449936,48
2287,424.0304333069294,64
2418,257.22336520246614,29
2451,261.34487628693375,24
2548,467.45280265622154,48
2682,282.792957938769,28
2777,467.5122553079737,46
2837,440.05264256743214,45
2889,448.4740972468426,18
2909,447.6668753867861,24
2935,444.65173158939984,67
3016,466.9257656379798,50
3084,429.85786152852916,45
3145,463.4589776870708,45
3245,314.62725407258455,53
3308,306.9951635868308,42
3382,226.86084857208525,39
3442,211.51432258763782,85
3575,212.6339514650189,22
