T,X,V,CRANESTOPPED
0,290.89933005821047,0.0,0
1,290.43830327912326,-0.8648007627283221,1
2,289.1697285327538,-1.517220930276693,1
3,287.4038614185699,-2.022834415011488,1
4,285.12405970273085,-2.4572879142053523,1
5,282.48928559015917,-2.757411518608933,1
6,279.609236665513,-2.9198260819697452,1
7,276.6496334262197,-2.977218326241797,1
8,273.6548000130294,-2.978264901540996,1
9,270.6931036231377,-3.0017335359347896,1
10,267.6513329411598,-3.0318311667607247,1
11,264.62944128961624,-3.033596207530394,1
12,261.584140526099,-3.0195676936779705,1
13,258.5903059022603,-3.001505688786054,1
14,255.5811291485269,-2.9892934428549864,1
15,252.61171901655032,-2.9390641977286123,1
16,249.7030007530697,-2.9010552947590043,1
17,246.80960842703232,-2.9107470928904036,1
18,243.88150656728888,-2.9329762180449706,1
19,240.94365599094237,-2.9311684805886813,1
20,238.01916960611152,-2.855662139261341,1
21,235.2323317124197,-2.5940767270079164,1
22,232.83101615209569,-2.165463435134768,1
23,230.90140484215016,-1.6756848872646941,1
24,229.4796463775663,-1.1782379930782696,1
25,228.54492885599362,-0.7276572170902824,1
26,228.02433194338573,0.0,0
27,227.7193882722263,0.0,0
28,227.50362472995445,0.0,0
29,227.3898913354561,0.0,0
30,227.26901033078374,0.0,0
31,227.25067787360058,0.0,0
32,227.210384203596,0.0,0
33,227.18738620270344,0.0,0
34,227.19142343137887,0.0,0
35,227.2500495362832,0.0,0
36,227.31023083441247,0.0,0
37,227.37300413325968,0.0,0
38,227.40874217964725,0.0,0
39,227.43277697650157,0.0,0
40,227.41900015805962,0.0,0
41,227.40626012589328,0.0,0
42,227.36544806401267,0.0,0
43,227.31748839481529,0.0,0
44,227.2639362991249,0.0,0
45,227.22871666142208,0.0,0
46,227.18127538394324,0.0,0
47,227.1460557421266,0.0,0
48,227.1174653066484,0.0,0
49,227.07406124611407,0.0,0
50,227.02910195930252,0.0,0
51,226.9923270700373,0.0,0
52,226.99129025485482,0.0,0
53,226.99740105518035,0.0,0
54,227.03613948952668,0.0,0
55,227.06876711948527,0.0,0
56,227.11517157612903,0.0,0
57,227.14324364438264,0.0,0
58,227.1901665138113,0.0,0
59,227.24879255575271,0.0,0
60,227.30078938161282,0.0,0
61,227.319640167216,0.0,0
62,227.3002709652044,0.0,0
63,227.3257509547704,0.0,0
64,227.3650077721513,0.0,0
65,227.37319223530915,0.0,0
66,227.39463510686116,0.0,0
67,227.3967087713696,0.0,0
68,227.39826401519505,0.0,0
69,227.3886344812956,0.0,0
70,227.42881797476252,0.0,0
71,227.48848083067384,0.0,0
72,227.52773764709892,0.0,0
73,227.56399418574088,0.0,0
74,227.59258467591846,0.0,0
75,227.613509125825,0.0,0
76,227.58854754027772,0.0,0
77,227.568141504766,0.0,0
78,227.5503275284418,0.0,0
79,227.5513643480308,0.0,0
80,227.5733256076949,0.0,0
81,227.57995481633066,0.0,0
82,227.59725039380115,0.0,0
83,227.6380624632432,0.0,0
84,227.67017167732402,0.0,0
85,227.76090691729374,0.0,0
86,227.83423634017484,0.0,0
87,227.8301992470076,0.0,0
88,227.85060528500682,0.0,0
89,227.9152317095086,0.0,0
90,227.93719303724166,0.0,0
91,227.97696825300568,0.0,0
92,228.00700367297088,0.0,0
93,228.0534080821493,0.0,0
94,228.11514462941003,0.0,0
95,228.1753258743684,0.0,0
96,228.20950874809043,0.0,0
97,228.2742454491691,0.0,0
98,228.32064985073453,0.0,0
99,228.3365004337504,0.0,0
100,228.345721805579,0.0,0
101,228.34727710209103,0.0,0
102,228.3605355043533,0.0,0
103,228.39471837536803,0.0,0
104,228.38145997267085,0.0,0
105,228.37431234072446,0.0,0
106,228.3819784036726,0.0,0
107,228.36271956581746,0.0,0
108,228.35257168369583,0.0,0
109,228.36686693093415,0.0,0
110,228.3909018822356,0.0,0
111,228.411307915456,0.0,0
112,228.4036418786848,0.0,0
113,228.40312346361276,0.0,0
114,228.4061237397652,0.0,0
115,228.42704819399933,0.0,0
116,228.4260113530984,0.0,0
117,228.42652977399467,0.0,0
118,228.41834530756333,0.0,0
119,228.39182849100288,0.0,0
120,228.38064376047973,0.0,0
121,228.41430820309338,0.0,0
122,228.45615710571275,0.0,0
123,228.4969691695356,0.0,0
124,228.48267392588696,0.0,0
125,228.4678602597724,0.0,0
126,228.4577123549924,0.0,0
127,228.4276768092492,0.0,0
128,228.43637966137985,0.0,0
129,228.4389717061654,0.0,0
130,228.4053072596851,0.0,0
131,228.37216122066002,0.0,0
132,228.34512598234298,0.0,0
133,228.2987215252934,0.0,0
134,228.2701310660577,0.0,0
135,228.25635424248298,0.0,0
136,228.26194663396683,0.0,0
137,228.23646661920571,0.0,0
138,228.05644118057754,0.0,0
139,227.49647712082214,-0.8516496543959136,1
140,226.3531418717857,-1.3837474172746624,1
141,224.7289822862728,-1.8654049532197945,1
142,222.62233196534612,-2.3570628482685123,1
143,220.01485658973579,-2.634512927485659,1
144,217.3533061103748,-2.4065846561651227,1
145,215.20168727740554,-1.8963927186514553,1
146,213.5605206730719,-1.3866634221855492,1
147,212.42836043303444,-0.8779157720442186,1
148,211.80468912898345,0.0,0
149,211.66236500228038,0.0,0
150,211.71436297631547,0.0,0
151,211.73269632273616,0.0,0
152,211.75362054032712,0.0,0
153,211.80717303059762,0.0,0
154,211.75973165561916,0.0,0
155,211.72151043976586,0.0,0
156,211.69654779818,0.0,0
157,211.63232757372836,0.0,0
158,211.6455861543604,0.0,0
159,211.68795274714475,0.0,0
160,211.69561837540246,0.0,0
161,211.68287795951423,0.0,0
162,211.6624719173081,0.0,0
163,211.6104739158309,0.0,0
164,211.5757729569721,0.0,0
165,211.57525479052552,0.0,0
166,211.54821945663133,0.0,0
167,211.54614678576715,0.0,0
168,211.5257407432503,0.0,0
169,211.5247044063732,0.0,0
170,211.52366806798,0.0,0
171,211.5302973591122,0.0,0
172,211.53537213822486,0.0,0
173,211.52055904319317,0.0,0
174,211.47922878396756,0.0,0
175,211.4445278126257,0.0,0
176,211.41593795811667,0.0,0
177,211.35471982390914,0.0,0
178,211.32820266327997,0.0,0
179,211.26190975902932,0.0,0
180,211.18691487022235,0.0,0
181,211.13025332704558,0.0,0
182,211.07410995131053,0.0,0
183,211.00418981198973,0.0,0
184,210.93986259436645,0.0,0
185,210.8577202225445,0.0,0
186,210.77557784717297,0.0,0
187,210.69447183530255,0.0,0
188,210.58633048420702,0.0,0
189,210.48585478200695,0.0,0
190,210.4174891637278,0.0,0
191,210.3445669789412,0.0,0
192,210.2650154992591,0.0,0
193,210.18598219439167,0.0,0
194,210.13242969035045,0.0,0
195,210.06510042633565,0.0,0
196,209.9993256917786,0.0,0
197,209.91873784173958,0.0,0
198,209.8534812715464,0.0,0
199,209.78615200151447,0.0,0
200,209.74585807391648,0.0,0
201,209.7045277992109,0.0,0
202,209.63616218072244,0.0,0
203,209.5473905087688,0.0,0
204,209.51165317055347,0.0,0
205,209.50865110094517,0.0,0
206,209.52501872170023,0.0,0
207,209.48420661959224,0.0,0
208,209.32354906297886,0.0,0
209,209.25010866000198,0.0,0
210,209.26181273706712,0.0,0
211,209.28584597634602,0.0,0
212,209.42039760160225,0.0,0
213,209.36021579305992,0.0,0
214,209.20059458104058,0.0,0
215,208.9451610975153,0.0,0
216,208.79579625949947,0.0,0
217,208.75042749895985,0.0,0
218,208.7040224161429,0.0,0
219,208.66020811699642,0.0,0
220,208.6530606621369,0.0,0
221,208.60821003917104,0.0,0
222,208.5970240563992,0.0,0
223,208.63887246251468,0.0,0
224,208.7271259639295,0.0,0
225,208.80315716733884,0.0,0
226,208.8970036621816,0.0,0
227,209.1941790166249,0.0,0
228,209.6682722916424,0.0,0
229,210.08321957092647,0.0,0
230,210.46201804346146,0.0,0
231,210.6813026200846,0.0,0
232,210.88018111187802,0.0,0
233,210.9872860397197,0.0,0
234,211.0280981438236,0.0,0
235,211.05824270587706,0.0,0
236,211.04757515125686,0.0,0
237,211.00376116521733,0.0,0
238,210.8018806995904,0.0,0
239,210.6193698117761,0.0,0
240,210.48222750423992,0.0,0
241,210.4291931947937,0.0,0
242,210.3608275721172,0.0,0
243,210.30168215299847,0.0,0
244,210.29557104683732,0.0,0
245,210.20887209952758,0.0,0
246,210.1033216382279,0.0,0
247,210.1129529551884,0.0,0
248,210.08436306820053,0.0,0
249,210.15210339117516,0.0,0
250,210.1805861214924,0.0,0
251,210.24273343492257,0.0,0
252,210.34258360394867,0.0,0
253,210.3756226385984,0.0,0
254,210.41529086777598,0.0,0
255,210.45703188467803,0.0,0
256,210.71587662060702,0.0,0
257,210.80194938794463,0.0,0
258,211.0057941678664,0.0,0
259,211.2157496887516,0.0,0
260,211.37370734447566,0.0,0
261,211.53425618574744,0.0,0
262,211.6555476221771,0.0,0
263,211.6136989208031,0.0,0
264,211.6437354991808,0.0,0
265,211.74773047759015,0.0,0
266,211.76358045051649,0.0,0
267,211.796208452634,0.0,0
268,211.6993610139235,0.0,0
269,211.6224013195216,0.0,0
270,211.550516013372,0.0,0
271,211.55662699268586,0.0,0
272,211.54388675198132,0.0,0
273,211.5520708555421,0.0,0
274,211.56636593905918,0.0,0
275,211.74172800488608,0.0,0
276,211.892127814055,0.0,0
277,212.03941779867543,0.0,0
278,212.10011770123816,0.0,0
279,212.48368656629685,0.6005744967844322,1
280,213.30126669480703,0.9713485287842758,1
281,214.4263836238654,1.104451474325785,1
282,215.5101696434586,1.1347463263714985,1
283,216.6958762766084,1.1079696551772145,1
284,217.72610895381302,1.0437501030503427,1
285,218.7833764827091,1.0526567475123443,1
286,219.8314224488377,1.0538973165383254,1
287,220.89117111578574,1.1112818773242736,1
288,222.05398620348626,1.3402481283993808,1
289,223.5716673725845,1.6775588311748635,1
290,225.409103865836,1.7844018551580092,1
291,227.14047108290052,1.4876420721874126,1
292,228.3843880102108,1.0371157693430035,1
293,229.21470262158653,0.652826470740095,1
294,229.690040951691,0.0,0
295,229.9696149982095,0.0,0
296,230.52813299495617,0.7969089549777095,1
297,231.5634329081649,1.296114584293008,1
298,233.12036216354218,1.8447779290696076,1
299,235.25298876630413,2.3432577738197438,1
300,237.80687771118167,2.7616663328451523,1
301,240.77632143199443,2.9855513892447476,1
302,243.77798048967117,2.9713061839557326,1
303,246.7189337999059,2.9746143836522094,1
304,249.72720925697558,3.0133445213461982,1
305,252.7456228425983,2.987800886700583,1
306,255.70281103037675,2.9770716424331596,1
