t_start,x_avg,duration
21,468.5609797319175,52
131,319.23857126785924,98
232,322.2519583151154,23
307,457.209814634254,34
360,465.416320411157,53
417,468.30570777016624,61
542,311.03153240789766,72
648,225.58864209847738,12
676,210.37187528005373,51
772,317.3548080213679,246
1054,225.74170790952263,16
1096,210.58699293012845,53
1168,232.79040206835396,46
1271,389.10430662308113,48
1350,469.45482325229534,50
1447,345.27727596895363,245
1750,470.08852936314327,55
1857,344.6965894438036,295
2168,311.7462183757585,62
2245,344.6316284091675,85
2377,469.89528937396045,47
2434,457.72424857491785,43
2580,209.77348365475817,51
2703,387.3175703479625,55
2789,308.96920956535115,48
2891,209.97936894055096,55
2967,227.1995950890589,89
3072,210.3112586447043,59
3161,271.0221025676613,73
3255,319.5488381332928,56
3340,390.682061962715,41
3392,403.70562459271025,41
3446,379.90701445278916,49
3526,302.70086638745687,39
3585,256.0247627093946,12
