T,X,V,CRANESTOPPED
0,358.91638289545335,0.0,0
1,358.8853458773108,0.0,0
2,358.85430883194255,0.0,0
3,358.82274618686813,0.0,0
4,358.81001601102594,0.0,0
5,358.81159271624136,0.0,0
6,358.7866579096379,0.0,0
7,358.7264814706413,0.0,0
8,358.6519981554926,0.0,0
9,358.57804040224687,0.0,0
10,358.5046082126008,0.0,0
11,358.4704177056151,0.0,0
12,358.46831542562506,0.0,0
13,358.4595852512512,0.0,0
14,358.4264458827845,0.0,0
15,358.3943576645533,0.0,0
16,358.3877297904763,0.0,0
17,358.3606927199391,0.0,0
18,358.3413346716825,0.0,0
19,358.34691139763964,0.0,0
20,358.3524881169286,0.0,0
21,358.3299765906571,0.0,0
22,358.3268230612012,0.0,0
23,358.3385020205105,0.0,0
24,358.35018096633024,0.0,0
25,358.3613342922912,0.0,0
26,358.3735388168132,0.0,0
27,358.35260398520364,0.0,0
28,358.31893902300345,0.0,0
29,358.29295315475815,0.0,0
30,358.2746463687272,0.0,0
31,358.21499553253227,0.0,0
32,358.12115413112025,0.0,0
33,358.047196341683,0.0,0
34,357.80996477417693,0.0,0
35,357.2026236809007,-0.8446304960752968,1
36,356.12070378202634,-1.3248887020901634,1
37,354.55284627672035,-1.8304474145596146,1
38,352.4598089529071,-2.342109114157097,1
39,349.86862804840615,-2.7543533444711272,1
40,346.95110226396486,-2.9580823653104176,1
41,343.9524633177853,-2.9879100936547047,1
42,340.97528207665545,-2.990175603335558,1
43,337.9721121111142,-2.9845004696342983,1
44,335.00628113738685,-2.9517890967957783,1
45,332.06853391752264,-2.96783745859895,1
46,329.07060622018895,-2.9890378656658356,1
47,326.090458186191,-2.987565227325547,1
48,323.09547576553786,-2.9883560880166726,1
49,320.1137460101576,-3.0046668985825136,1
50,317.08614196837283,-3.0276058654213784,1
51,314.05853427931487,-3.0085126643388094,1
52,311.0691166396952,-2.985318298235171,1
53,308.0878976828445,-2.980696249095786,1
54,305.10772414150364,-2.970495839358165,1
55,302.1469060041282,-2.974338457569246,1
56,299.15904722636515,-2.9610864405585744,1
57,296.22473312301105,-2.950099863057602,1
58,293.25884750024994,-2.986034362398442,1
59,290.25266439821416,-2.909554223303786,1
60,287.43973905364237,-2.5934144699624824,1
61,285.0658354582892,-2.1011051908341187,1
62,283.23752867197413,-1.5606556284951694,1
63,281.94452420129886,-1.0317185477077544,1
64,281.1740915765586,-0.5687992847932151,1
