T,X,V,CRANESTOPPED
0,211.51948177804573,0.0,0
1,211.2935923137455,0.0,0
2,211.1737580896373,0.0,0
3,211.1151460625689,0.0,0
4,211.02479984063308,0.0,0
5,210.92015255124454,0.0,0
6,210.86399258377975,0.0,0
7,210.7818408491489,0.0,0
8,210.75584911382236,0.0,0
9,210.71503427788122,0.0,0
10,210.69306065094503,0.0,0
11,210.7256808247286,0.0,0
12,210.7195744489368,0.0,0
13,210.7007332420538,0.0,0
14,210.71607840733623,0.0,0
15,210.6696792479105,0.0,0
16,210.65694440410974,0.0,0
17,210.67020130779687,0.0,0
18,210.709449956294,0.0,0
19,210.74259221185184,0.0,0
20,210.75480498044664,0.0,0
21,210.80172620005,0.0,0
22,210.84969155440083,0.0,0
23,210.89765690192482,0.0,0
24,210.92678100361184,0.0,0
25,210.94264816634652,0.0,0
26,210.98048880846846,0.0,0
27,211.09280844292718,0.0,0
28,211.21019037774644,0.0,0
29,211.34187317078892,0.0,0
30,211.395944860286,0.0,0
31,211.46222948147712,0.0,0
32,211.49834621094772,0.0,0
33,211.5487637971211,0.0,0
34,211.55330415238652,0.0,0
35,211.496100234659,0.0,0
36,211.4460467473924,0.0,0
37,211.43680802903984,0.0,0
38,211.4627997755434,0.0,0
39,211.48722532333488,0.0,0
40,211.58717413373486,0.0,0
41,211.6661934476421,0.0,0
42,211.7860275873264,0.0,0
43,211.91457848412531,0.0,0
44,212.08551041627598,0.0,0
45,212.2100431335087,0.0,0
46,212.30753991303462,0.0,0
47,212.45509001452243,0.0,0
48,212.541939715582,0.0,0
49,212.59564686784333,0.0,0
50,212.79011745010254,0.0,0
51,213.32963299293897,0.7253733231687534,1
52,214.24086409644005,0.9958345281627743,1
53,215.32130204926452,1.1352921097902708,1
54,216.5114483160206,1.1799420138370351,1
55,217.6811860769386,1.1738346798089907,1
56,218.85911767563857,1.2240690013376678,1
57,220.12932407961392,1.4119332883097826,1
58,221.68298425225814,1.7999544399554566,1
59,223.72923295952484,2.2948113357103352,1
60,226.2726069236788,2.6939947493437444,1
61,229.11722245821232,2.9012135792446827,1
62,232.07503408216817,2.956061417204765,1
63,235.02934529262185,2.9540462617979983,1
64,237.98312660576417,2.967034351277192,1
65,240.96341399517624,2.9678118942618,1
66,243.91875039428777,2.96422945521293,1
67,246.8918729056021,2.960822197857624,1
68,249.84039479000302,2.922528179659139,1
69,252.73692926492038,2.919555971803149,1
70,255.67950673360932,2.9492030284918656,1
71,258.6353353219041,2.9657682636701708,1
72,261.61104326094966,2.979281297178943,1
73,264.593897916262,2.969243650972942,1
74,267.54953056289554,2.959205093255065,1
75,270.5123081027721,2.9651319840010046,1
76,273.47979453089755,2.9264051955373134,1
77,276.36511849384675,2.9294520936063577,1
78,279.33869871811027,2.9743640470888124,1
79,282.3138465880244,2.955523612771799,1
80,285.24974594365386,2.918802879813626,1
81,288.1514523476516,2.9460976952877616,1
82,291.1419413342294,2.979496205857174,1
83,294.110444759366,2.9516691162629343,1
84,297.04527956675526,2.9389337933017714,1
85,299.9883123459695,2.95018374990039,1
86,302.94564706655603,3.0004151421035203,1
87,305.98914263017656,3.0506467019670254,1
88,309.0469404704901,3.0360754159931957,1
89,312.06129346216295,2.997781227908689,1
90,315.04250292630746,2.9834717209432142,1
91,318.0282369040494,2.9857319996185936,1
92,321.01396692554465,3.005186093684614,1
93,324.0386090914186,3.0215894961009724,1
94,327.0571459177466,3.0078059207230865,1
95,330.0542209328648,2.9664601760951825,1
96,332.99006626993696,2.911858299688703,1
97,335.8779375322422,2.932527337344453,1
98,338.85512094462587,3.0128475227256217,1
99,341.90363257769343,3.028889307925681,1
100,344.91289956047723,3.010316769129446,1
101,347.9242661159523,3.041453738869393,1
102,350.995807038216,3.1036280030276373,1
103,354.1315221220076,3.071434927821315,1
104,357.13867689385864,3.003576615155879,1
105,360.13867535231935,3.0237203314267447,1
106,363.18611755671213,3.026242797629152,1
