t_start,x_avg,duration
8,340.7820898585258,33
55,365.8265165821584,45
109,353.86357960513146,98
219,339.71940540705305,40
274,307.5534821727912,273
571,248.0902675993876,160
744,225.80727627378306,24
793,209.46121831153755,62
907,336.951850473055,52
987,267.96078451034776,40
1050,319.6120920139192,98
1203,468.980036583756,46
1276,402.37695062504514,65
1363,403.6783830743729,116
1500,448.1333349779053,36
1548,463.38779963879534,47
1680,235.11739475325948,43
1745,286.77610220059375,114
1924,467.2514204709191,47
2020,334.6074644511123,316
2379,447.49038841270226,14
2406,467.42463740073504,48
2503,334.6453503720412,749
3280,405.0730361585401,317
