t_start,x_avg,duration
0,211.28811257931505,50
138,436.7759071126706,11
152,441.5800993868394,45
247,351.3607593921507,13
263,354.73385664130967,12
296,310.466131367271,42
370,257.620049212685,28
414,225.18577550983645,100
539,208.86372257868206,64
623,224.19793195191903,12
660,209.37382247495572,51
728,229.88129285241848,91
898,452.4765227635686,42
971,374.4712572051283,16
1009,425.98562131539404,42
1070,467.44272418803473,48
1182,289.63319856543194,44
1290,467.7625909536373,46
1372,374.3506817861589,44
1452,469.3248412839257,47
1544,349.8035876663796,53
1641,466.8314303191294,48
1751,334.6004252875067,56
1856,466.59281749183083,47
1917,439.69695434855413,38
1969,413.635127250904,261
2244,439.36443953103003,42
2301,466.5339907380665,49
2413,296.3083941420709,37
2480,225.6105073366633,72
2566,208.61229208345702,144
2774,373.70776252053474,47
2844,348.19723000694654,29
2917,467.60041923956595,49
3021,335.7645736368017,28
3066,303.8409062144719,18
3086,307.7705886282457,18
3115,325.9443143606713,43
3172,352.72228586763646,41
3235,300.3328596346599,37
3278,306.44775079816833,86
3383,348.2466276457151,38
3465,466.6050310023686,49
3529,438.7670262688098,37
3581,466.7580692017084,16
